Market,ST,MSA,Tier,Score,Rank,lat,lng
"South Fulton, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",B,0.5512999999999999,922.0,33.59259,-84.67294
"Jackson, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Orchard Hill, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",C,0.4747499999999999,1530.0,33.749,-84.38798
"Fairburn, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",D,0.4233499999999999,1795.0,33.749,-84.38798
"Waleska, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Union City, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.34875,2055.0,33.58706,-84.54243
"Emerson, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",D,0.39405,1909.0,33.749,-84.38798
"Winder, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",D,0.40525,1861.0,33.99261,-83.72017
"Temple, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Atlanta, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",D,0.4060499999999999,1857.0,33.749,-84.38798
"Carrollton, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.58011,-85.07661
"Villa Rica, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Douglasville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.34485,2065.0,33.7515,-84.74771
"Cartersville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.29175,2215.0,34.16533,-84.80231
"College Park, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.33925,2086.0,33.749,-84.38798
"Jenkinsburg, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Hampton, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Decatur, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.34725,2059.0,33.77483,-84.29631
"East Point, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.3464,2062.0,33.67955,-84.43937
"Dawsonville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Madison, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Hapeville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.3407,2079.0,33.749,-84.38798
"Rutledge, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Talking Rock, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Meansville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Zebulon, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Adairsville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Jasper, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Avondale Estates, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.33395,2099.0,33.749,-84.38798
"Experiment, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2464,2319.0,33.749,-84.38798
"Griffin, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.24785,2316.0,33.24678,-84.26409
"Brookhaven, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.85844,-84.3402
"Flovilla, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Scottdale, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.3161,2152.0,33.749,-84.38798
"McDonough, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.27595,2264.0,33.44734,-84.14686
"Lula, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",D,0.3975999999999999,1896.0,33.749,-84.38798
"Sandy Springs, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.92427,-84.37854
