Market,ST,MSA,CC Rate,SF/Cap,Med HHI,Sup Gr%,SF Dev,Tax,Crime,Ind Basis,Exit CO,Exit Stab,Yld/Basis,Sc:Rate,Sc:Sat,Sc:HHI,Sc:Grw,Sc:Tax,Sc:Crm,Sc:Bas,Sc:Exit,Score,Rank,Tier
"South Fulton, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",2.1,2.97,87391,0.1481,14695,0.0154,3800,131,73,104,0.19236641221374048,0.868,0.924,0.378,0.33299999999999996,0.6799999999999999,0.252,0.365,0.025,0.5512999999999999,922,B
"Jackson, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.7,12.55,60936,,,0.0154,3800,131,73,104,0.15572519083969463,0.705,0.11299999999999999,0.057,,0.6799999999999999,0.252,0.365,0.025,,,
"Orchard Hill, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.67,5.46,68476,0.0442,5424,0.0154,3800,131,73,104,0.1529770992366412,0.688,0.677,0.13,0.758,0.6799999999999999,0.252,0.365,0.025,0.4747499999999999,1530,C
"Fairburn, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.58,6.1,80577,0.2708,142195,0.0154,3800,131,73,104,0.14473282442748092,0.629,0.591,0.286,0.15400000000000003,0.6799999999999999,0.252,0.365,0.025,0.42334999999999995,1795,D
"Waleska, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.53,2.3,103525,,,0.0154,3800,131,73,104,0.14015267175572518,0.591,0.954,0.591,,0.6799999999999999,0.252,0.365,0.025,,,
"Union City, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.51,9.32,75980,0.1905,207220,0.0154,3800,131,73,104,0.13832061068702292,0.574,0.265,0.222,0.25,0.6799999999999999,0.252,0.365,0.025,0.34875,2055,E
"Emerson, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.49,7.03,93123,0.2405,56720,0.0154,3800,131,73,104,0.1364885496183206,0.555,0.46699999999999997,0.459,0.18700000000000006,0.6799999999999999,0.252,0.365,0.025,0.39405,1909,D
"Winder, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.47,5.83,78763,0.9345,252788,0.0154,3800,131,73,104,0.13465648854961831,0.541,0.628,0.262,0.020000000000000018,0.6799999999999999,0.252,0.365,0.025,0.40525,1861,D
"Temple, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.47,5.48,78875,,,0.0154,3800,131,73,104,0.13465648854961831,0.541,0.673,0.264,,0.6799999999999999,0.252,0.365,0.025,,,
"Atlanta, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.45,8.04,102041,0.0313,89040,0.0154,3800,131,73,104,0.13282442748091602,0.525,0.366,0.577,0.833,0.6799999999999999,0.252,0.365,0.025,0.4060499999999999,1857,D
"Carrollton, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.4,9.57,71836,,,0.0154,3800,131,73,104,0.12824427480916029,0.476,0.246,0.17,,0.6799999999999999,0.252,0.365,0.025,,,
"Villa Rica, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",1.38,12.57,87286,,,0.0154,3800,131,73,104,0.126412213740458,0.454,0.11199999999999999,0.376,,0.6799999999999999,0.252,0.365,0.025,,,
